Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassDerived,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeExe,CountStmt,MaxCyclomatic,Cyclomatic,RatioCommentToCode,SumCyclomatic,CountLineComment
Public Class,org.apache.hadoop.streaming.io.RawBytesOutputReader,7,0,7,0,1,0,,,82,9,53,24,34,2,,0.38,10,20
Public Class,org.apache.hadoop.streaming.io.TextInputWriter,9,0,9,0,2,0,,,65,6,38,20,28,3,,0.55,6,21
Public Class,org.apache.hadoop.streaming.io.TextOutputReader,10,0,10,0,2,0,,,102,8,72,37,49,4,,0.31,12,22
Public Class,org.apache.hadoop.streaming.io.TypedBytesInputWriter,6,0,6,0,1,0,,,52,6,26,10,16,2,,0.77,5,20
Public Class,org.apache.hadoop.streaming.io.TypedBytesOutputReader,7,0,7,0,1,0,,,70,7,43,18,28,2,,0.47,7,20
Public Class,org.apache.hadoop.test.MapredTestDriver,16,0,16,0,2,0,,,94,5,68,55,34,2,,0.31,6,21
Public Class,org.apache.hadoop.tools.DistCh,23,1,22,1,4,0,,,488,52,387,259,279,15,,0.13,36,50
Public Class,org.apache.hadoop.tools.DistCp,35,3,28,5,5,0,,,1643,143,1256,893,820,40,,0.20,120,253
Public Class,org.apache.hadoop.tools.HadoopArchives,29,0,23,6,5,0,,,838,53,606,424,449,14,,0.30,59,179
Public Class,org.apache.hadoop.tools.Logalyzer,45,6,32,7,5,0,,,289,45,187,130,133,13,,0.33,16,61
Public Class,org.apache.hadoop.tools.TestCopyFiles,29,2,26,3,3,0,,,1080,105,910,735,670,10,,0.12,85,107
Public Class,org.apache.hadoop.tools.TestDistCh,29,2,26,1,5,0,,,192,24,148,104,126,11,,0.14,14,20
Public Class,org.apache.hadoop.tools.TestHadoopArchives,22,1,21,1,2,0,,,156,15,119,87,88,4,,0.20,10,24
